analysis_set,analysis_tier,cohort,wave,n_classes,class,class_n,class_pct,mean_posterior,severity_mean,severity_sd,functional_score,cognitive_score,affective_score,cardiometabolic_chronic_score,profile_label,high_domains_vs_class_severity,spared_domains_vs_class_severity
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,5,3,5497,20.04,0.8889,0.3271,0.4862,0.3071,0.2532,0.2423,0.5059,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,5,4,1651,6.02,0.9783,0.6441,0.551,0.6218,0.0156,0.2015,1.7376,high_burden_high_cardiometabolic_chronic_spared_cognitive_affective,cardiometabolic_chronic,cognitive;affective
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,5,5,453,1.65,1.0,1.0652,0.6728,0.9571,-0.0508,0.1149,3.2395,high_burden_high_cardiometabolic_chronic_spared_cognitive_affective,cardiometabolic_chronic,cognitive;affective
strict_earliest_primary,strict_primary,MHAS,1,2,1,5611,83.34,0.9999,-0.1478,0.4597,-0.323,-0.0694,-0.1137,-0.085,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,MHAS,1,2,2,1122,16.66,1.0,0.7301,0.7069,1.641,0.3088,0.5954,0.3752,high_burden_high_functional_spared_cognitive_cardiometabolic_chronic,functional,cognitive;cardiometabolic_chronic
strict_earliest_primary,strict_primary,MHAS,1,3,1,2719,40.38,1.0,-0.4101,0.3644,-0.323,-0.101,-0.2616,-0.955,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
strict_earliest_primary,strict_primary,MHAS,1,3,2,2890,42.92,0.9999,0.0983,0.3989,-0.323,-0.0392,0.0252,0.7303,intermediate_high_cardiometabolic_chronic_spared_functional,cardiometabolic_chronic,functional
strict_earliest_primary,strict_primary,MHAS,1,3,3,1124,16.69,0.9998,0.7304,0.7066,1.6375,0.3069,0.5947,0.3827,high_burden_high_functional_spared_cognitive,functional,cognitive
strict_earliest_primary,strict_primary,MHAS,1,4,1,2719,40.38,1.0,-0.4101,0.3644,-0.323,-0.101,-0.2616,-0.955,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
strict_earliest_primary,strict_primary,MHAS,1,4,2,2890,42.92,0.9999,0.0983,0.3989,-0.323,-0.0392,0.0252,0.7303,intermediate_high_cardiometabolic_chronic_spared_functional,cardiometabolic_chronic,functional
strict_earliest_primary,strict_primary,MHAS,1,4,3,486,7.22,0.9252,0.3217,0.4623,0.3751,0.1757,0.4568,0.2793,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,MHAS,1,4,4,638,9.48,0.9994,1.0418,0.702,2.5992,0.4067,0.6997,0.4614,high_burden_high_functional_spared_cognitive_cardiometabolic_chronic,functional,cognitive;cardiometabolic_chronic
strict_earliest_primary,strict_primary,MHAS,1,5,1,2719,40.38,1.0,-0.4101,0.3644,-0.323,-0.101,-0.2616,-0.955,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
strict_earliest_primary,strict_primary,MHAS,1,5,2,2267,33.67,0.9999,0.0043,0.3523,-0.323,-0.0613,-0.0205,0.4219,intermediate_high_cardiometabolic_chronic,cardiometabolic_chronic,
strict_earliest_primary,strict_primary,MHAS,1,5,3,760,11.29,0.9966,0.5351,0.4205,-0.0191,0.0665,0.2944,1.7987,high_burden_high_cardiometabolic_chronic_spared_functional_cognitive,cardiometabolic_chronic,functional;cognitive
strict_earliest_primary,strict_primary,MHAS,1,5,4,467,6.94,0.9944,0.6752,0.8829,1.8217,0.3702,0.5134,-0.0047,high_burden_high_functional_spared_cardiometabolic_chronic,functional,cardiometabolic_chronic
