analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,adjustment,term,term_label,reference,log_or,or,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_education_raw)[T.2.0],2.0,1,-1.217586,0.2959,0.1172,0.7472,0.009972
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_education_raw)[T.3.0],3.0,1,-0.850443,0.4272,0.2962,0.6162,5e-06
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.4.0],4.0,1,-0.138408,0.8707,0.6886,1.1011,0.247744
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.5.0],5.0,1,-0.103862,0.9014,0.55,1.4771,0.680258
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.7.0],7.0,1,-0.047779,0.9533,0.8137,1.117,0.554461
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.8.0],8.0,1,-0.185557,0.8306,0.6093,1.1323,0.24045
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_smoking_raw)[T.1.0],1.0,1,-0.046474,0.9546,0.7634,1.1936,0.683571
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_drinking_raw)[T.1.0],1.0,1,-0.211476,0.8094,0.6799,0.9635,0.0174
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,age,age,1,0.051018,1.0523,1.0444,1.0603,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,Intercept,Intercept,1,-1.159403,0.3137,0.1745,0.5639,0.000107
