cohort,model_type,risk_decile,n,observed_event_pct,mean_predicted_event_pct
KLoSA,lfo_profile_adjusted,6,383,32.89817232375979,29.994111420250967
KLoSA,lfo_profile_adjusted,7,384,32.8125,31.373010657975637
KLoSA,lfo_profile_adjusted,8,383,31.853785900783286,32.99685367805892
KLoSA,lfo_profile_adjusted,9,383,34.20365535248042,34.94764713994267
KLoSA,lfo_profile_adjusted,10,384,38.54166666666667,39.63093374764878
KLoSA,continuous_three_domain_adjusted,1,384,23.4375,22.056146880631346
KLoSA,continuous_three_domain_adjusted,2,383,24.281984334203656,24.284825462804644
KLoSA,continuous_three_domain_adjusted,3,383,20.626631853785902,25.69004853457699
KLoSA,continuous_three_domain_adjusted,4,384,25.78125,26.979141020314895
KLoSA,continuous_three_domain_adjusted,5,383,28.198433420365536,28.376311958200056
KLoSA,continuous_three_domain_adjusted,6,383,34.72584856396867,29.84619428159639
KLoSA,continuous_three_domain_adjusted,7,384,32.55208333333333,31.415403480177854
KLoSA,continuous_three_domain_adjusted,8,383,34.46475195822455,33.15079617455206
KLoSA,continuous_three_domain_adjusted,9,383,32.637075718015666,35.44889309954032
KLoSA,continuous_three_domain_adjusted,10,384,41.66666666666667,41.129314809751286
MHAS,lfo_profile_adjusted,1,544,7.904411764705882,10.739771111335516
MHAS,lfo_profile_adjusted,2,543,9.94475138121547,15.250135574220888
MHAS,lfo_profile_adjusted,3,543,16.206261510128915,17.987111755386454
MHAS,lfo_profile_adjusted,4,544,20.22058823529412,20.53831212568557
MHAS,lfo_profile_adjusted,5,543,26.151012891344383,22.964419166491147
MHAS,lfo_profile_adjusted,6,543,30.20257826887661,25.74251128677355
MHAS,lfo_profile_adjusted,7,544,28.676470588235293,28.860688691940577
MHAS,lfo_profile_adjusted,8,543,40.331491712707184,32.69614154594009
MHAS,lfo_profile_adjusted,9,543,44.01473296500921,38.831988195258226
MHAS,lfo_profile_adjusted,10,544,40.25735294117647,50.27397993579864
MHAS,continuous_three_domain_adjusted,1,544,6.8014705882352935,10.607238628040658
MHAS,continuous_three_domain_adjusted,2,543,11.233885819521179,15.273762620228782
MHAS,continuous_three_domain_adjusted,3,543,17.863720073664823,17.888375451398186
MHAS,continuous_three_domain_adjusted,4,544,18.38235294117647,20.28167718447154
MHAS,continuous_three_domain_adjusted,5,543,25.04604051565378,22.795733687625113
MHAS,continuous_three_domain_adjusted,6,543,28.7292817679558,25.560878276362264
MHAS,continuous_three_domain_adjusted,7,544,35.11029411764706,28.721446718825472
MHAS,continuous_three_domain_adjusted,8,543,37.569060773480665,32.81447002358619
MHAS,continuous_three_domain_adjusted,9,543,41.25230202578269,39.0126641198996
MHAS,continuous_three_domain_adjusted,10,544,41.911764705882355,50.928580282538626
SHARE,lfo_profile_adjusted,1,1220,3.606557377049181,3.7076046581192554
SHARE,lfo_profile_adjusted,2,1220,4.344262295081967,5.1353210464379
SHARE,lfo_profile_adjusted,3,1220,7.704918032786885,6.382004285749756
SHARE,lfo_profile_adjusted,4,1219,8.531583264971287,7.735170195959447
SHARE,lfo_profile_adjusted,5,1220,8.278688524590164,9.23957612436884
SHARE,lfo_profile_adjusted,6,1220,11.065573770491802,11.101068590366477
SHARE,lfo_profile_adjusted,7,1219,14.027891714520099,13.385382451663489
SHARE,lfo_profile_adjusted,8,1220,16.229508196721312,16.4145355982276
SHARE,lfo_profile_adjusted,9,1220,19.836065573770494,20.94814620531393
SHARE,lfo_profile_adjusted,10,1220,31.229508196721312,30.804568345968125
SHARE,continuous_three_domain_adjusted,1,1220,2.540983606557377,2.839739642797392
SHARE,continuous_three_domain_adjusted,2,1220,4.016393442622951,4.058543390513454
SHARE,continuous_three_domain_adjusted,3,1220,5.655737704918033,5.111957890070548
SHARE,continuous_three_domain_adjusted,4,1219,7.054963084495489,6.327132479211964
SHARE,continuous_three_domain_adjusted,5,1220,6.639344262295081,7.719561913830273
SHARE,continuous_three_domain_adjusted,6,1220,9.836065573770492,9.44440183680673
SHARE,continuous_three_domain_adjusted,7,1219,10.254306808859722,11.76056804580419
SHARE,continuous_three_domain_adjusted,8,1220,15.737704918032788,15.227684607611696
SHARE,continuous_three_domain_adjusted,9,1220,21.721311475409834,21.295719209023677
SHARE,continuous_three_domain_adjusted,10,1220,41.39344262295082,41.06558254214267
