analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,adjustment,term,term_label,reference,log_or,or,ci_low,ci_high,p_value
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,-0.589339,0.5547,0.446,0.6899,0.0
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,Intercept,Intercept,1,-0.08277,0.9206,0.8667,0.9778,0.007153
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,0.061525,1.0635,0.9024,1.2532,0.462678
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,0.073178,1.0759,0.9274,1.2482,0.334244
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,Intercept,Intercept,1,0.463297,1.5893,1.4607,1.7292,0.0
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,0.121216,1.1289,0.984,1.295,0.08356
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,0.169952,1.1852,0.9673,1.4524,0.101241
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,"C(endotype_class, Treatment(reference='1'))[T.4]",4,1,-0.040835,0.96,0.7793,1.1825,0.701038
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,"C(endotype_class, Treatment(reference='1'))[T.5]",5,1,0.212458,1.2367,1.0115,1.5121,0.038363
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,Intercept,Intercept,1,1.229693,3.4202,3.1584,3.7037,0.0
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,-0.520803,0.594,0.536,0.6584,0.0
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,-0.749958,0.4724,0.4002,0.5576,0.0
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,"C(endotype_class, Treatment(reference='1'))[T.4]",4,1,-0.409597,0.6639,0.5479,0.8045,2.9e-05
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,"C(endotype_class, Treatment(reference='1'))[T.5]",5,1,-0.942011,0.3898,0.3233,0.4701,0.0
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,Intercept,Intercept,1,0.416223,1.5162,1.4008,1.6411,0.0
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,-0.661022,0.5163,0.4596,0.5801,0.0
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,-1.501565,0.2228,0.1846,0.2688,0.0
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,"C(endotype_class, Treatment(reference='1'))[T.4]",4,1,-0.616402,0.5399,0.4377,0.6659,0.0
