analysis_set,analysis_tier,cohort,outcome,model_type,term,term_label,log_hr,hr,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.216229,1.2414,1.1314,1.3621,5e-06
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.514618,1.673,1.5036,1.8615,0.0
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.4]",4,1.012654,2.7529,2.453,3.0895,0.0
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,endotype,age,age,0.102243,1.1077,1.1032,1.1121,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.2]",2,-0.157405,0.8544,0.6676,1.0933,0.210897
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.3]",3,-0.431493,0.6495,0.4741,0.8899,0.007221
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,endotype_plus_four_domains,functional_score,functional_score,0.159791,1.1733,1.0866,1.2668,4.4e-05
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,endotype_plus_four_domains,cognitive_score,cognitive_score,0.241685,1.2734,1.174,1.3812,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,endotype_plus_four_domains,affective_score,affective_score,0.094234,1.0988,1.0206,1.183,0.012389
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,endotype_plus_four_domains,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.2225,1.2492,1.1148,1.3998,0.000127
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,endotype_plus_four_domains,age,age,0.095195,1.0999,1.0892,1.1107,0.0
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.2]",2,-0.020396,0.9798,0.7545,1.2725,0.878434
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.3]",3,-0.000852,0.9991,0.6464,1.5443,0.996942
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,endotype_plus_four_domains,functional_score,functional_score,0.177383,1.1941,1.0228,1.394,0.024703
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,endotype_plus_four_domains,cognitive_score,cognitive_score,0.180131,1.1974,1.0997,1.3037,3.3e-05
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,endotype_plus_four_domains,affective_score,affective_score,0.043356,1.0443,0.9673,1.1275,0.26739
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,endotype_plus_four_domains,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.169123,1.1843,1.1113,1.262,0.0
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,endotype_plus_four_domains,age,age,0.095903,1.1007,1.0917,1.1097,0.0
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.187821,1.2066,0.8432,1.7267,0.304379
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.224217,1.2513,0.8129,1.9264,0.308368
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.411144,1.5085,0.9145,2.4885,0.107421
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.5]",5,-0.061378,0.9405,0.4816,1.8366,0.857355
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,endotype_plus_four_domains,functional_score,functional_score,0.281314,1.3249,1.1128,1.5774,0.001577
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,endotype_plus_four_domains,cognitive_score,cognitive_score,0.280315,1.3235,1.1926,1.4689,0.0
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,endotype_plus_four_domains,affective_score,affective_score,-0.004932,0.9951,0.8931,1.1087,0.928759
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,endotype_plus_four_domains,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.187434,1.2062,1.0621,1.3697,0.003867
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,endotype_plus_four_domains,age,age,0.095134,1.0998,1.0859,1.1139,0.0
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.2]",2,-0.052164,0.9492,0.8695,1.0361,0.243331
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.1409,1.1513,1.022,1.297,0.020493
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.098204,1.1032,0.9616,1.2656,0.161044
