analysis_set,analysis_tier,cohort,wave,method,class,n,class_pct,mean_functional_score,mean_cognitive_score,mean_affective_score,mean_cardiometabolic_chronic_score
strict_earliest_primary,strict_primary,MHAS,1,kmeans,1,2384,35.407693450170804,-0.26921074998325134,-0.5988600009054178,-0.8613430085385597,-0.4386989584543549
strict_earliest_primary,strict_primary,MHAS,1,kmeans,2,1866,27.714243279370265,-0.15130057760262464,-0.2881065147208709,0.9722284779695507,-0.14090271587088182
strict_earliest_primary,strict_primary,MHAS,1,kmeans,3,1379,20.481211941185208,-0.1664354945687578,1.2256361412160222,-0.17629857853555278,-0.29171641452729563
strict_earliest_primary,strict_primary,MHAS,1,kmeans,4,795,11.807515223525918,-0.0531638663906967,0.029298423722616186,0.30460551116099543,1.8847581912034552
strict_earliest_primary,strict_primary,MHAS,1,kmeans,5,309,4.589336105747809,3.9639354653908137,0.6759284421096623,0.8740610252896965,0.5065169144773622
strict_earliest_primary,strict_primary,MHAS,1,severity_quantile_k,1,1347,20.00594088816278,-0.31471464181034925,-0.840195141658883,-0.9594903799459322,-0.7914809877815451
strict_earliest_primary,strict_primary,MHAS,1,severity_quantile_k,2,1346,19.99108866775583,-0.2936539897197474,-0.28893045825000874,-0.46015537938960155,-0.3719517531895182
strict_earliest_primary,strict_primary,MHAS,1,severity_quantile_k,3,1347,20.00594088816278,-0.2369710643689341,0.007584265807911882,0.023775962438476756,-0.07663207069503541
strict_earliest_primary,strict_primary,MHAS,1,severity_quantile_k,4,1346,19.99108866775583,-0.1474861207809381,0.30246905909342464,0.4837618006193508,0.30046453688587454
strict_earliest_primary,strict_primary,MHAS,1,severity_quantile_k,5,1347,20.00594088816278,1.013991215445946,0.7871724340138229,0.9342985770820607,0.8978521537412932
strict_earliest_primary,strict_primary,SHARE,1,selected_full_gmm_reference,1,6678,42.47821385408053,-0.3175429360185518,-0.2591009320627163,-0.24764649408795106,-0.8698141285076382
strict_earliest_primary,strict_primary,SHARE,1,selected_full_gmm_reference,2,5896,37.503975574072896,-0.3660340734540783,-0.11761024016978061,-0.0840139999132969,0.6455004310353811
strict_earliest_primary,strict_primary,SHARE,1,selected_full_gmm_reference,3,2009,12.779085299917309,0.4448602652348617,0.24439848650578944,0.47635297160043977,0.5903473986810541
strict_earliest_primary,strict_primary,SHARE,1,selected_full_gmm_reference,4,1138,7.238725271929266,2.9410082228022825,1.6908150840456482,1.0326747031017052,0.7240744075855805
strict_earliest_primary,strict_primary,SHARE,1,gmm_diag,1,11891,75.63768208129254,-0.36603407345407823,-0.21755869851642715,-0.18571734932172193,-0.119504268966718
strict_earliest_primary,strict_primary,SHARE,1,gmm_diag,2,1384,8.803511227021183,0.10006875440675021,0.16272249380071366,0.2761848071836933,0.20038267390302705
strict_earliest_primary,strict_primary,SHARE,1,gmm_diag,3,1300,8.269194071623943,0.6793474050063156,0.21468967679045528,0.44395703931124925,0.3345036254750665
strict_earliest_primary,strict_primary,SHARE,1,gmm_diag,4,1146,7.2896126200623375,2.8732699750645656,1.8098814114217172,1.0750682178050859,0.6248667709224214
strict_earliest_primary,strict_primary,SHARE,1,kmeans,1,8349,53.10730869537561,-0.2865893908742902,-0.39203751596861847,-0.5822757119874813,-0.5020508451638107
strict_earliest_primary,strict_primary,SHARE,1,kmeans,2,3808,24.222377711341515,-0.05943310145240519,0.4438998414786834,1.0390584070334064,-0.20225603027294708
strict_earliest_primary,strict_primary,SHARE,1,kmeans,3,2774,17.645187965142167,-0.10359684010006968,0.006932647841413127,-0.012355399668660788,1.5901018810965917
strict_earliest_primary,strict_primary,SHARE,1,kmeans,4,790,5.025125628140704,3.630805969324685,1.9683007392877492,1.1670968166430664,0.7064901802320495
strict_earliest_primary,strict_primary,SHARE,1,severity_quantile_k,1,3931,25.004770688887472,-0.3480438782397576,-0.7712728898647541,-0.7951185733255529,-0.727536165464822
strict_earliest_primary,strict_primary,SHARE,1,severity_quantile_k,2,3930,24.99840977037084,-0.3091499518346629,-0.24740505928395207,-0.3316797351930983,-0.330959753784695
strict_earliest_primary,strict_primary,SHARE,1,severity_quantile_k,3,3930,24.99840977037084,-0.2028265984237413,0.08516917012735598,0.13507457225773356,0.1730368233515986
strict_earliest_primary,strict_primary,SHARE,1,severity_quantile_k,4,3930,24.99840977037084,0.8504150978281719,0.9315264374356245,0.9876123417673334,0.8874906295260844
