cohort,domain,variable,present,nonmissing,nonmissing_pct
KLoSA,cardiometabolic_chronic,dyslipe,0,0,0.0
KLoSA,cardiometabolic_chronic,bmi,1,43337,97.89
KLoSA,cardiometabolic_chronic,mbmi,0,0,0.0
KLoSA,cardiometabolic_chronic,r1mbmi,0,0,0.0
KLoSA,cardiometabolic_chronic,systo,0,0,0.0
KLoSA,cardiometabolic_chronic,diasto,0,0,0.0
KLoSA,cardiometabolic_chronic,r1systo,0,0,0.0
KLoSA,cardiometabolic_chronic,r1diasto,0,0,0.0
KLoSA,cardiometabolic_chronic,cancre,1,44270,99.99
KLoSA,female_specific,mammog,0,0,0.0
KLoSA,female_specific,r1mammog,0,0,0.0
KLoSA,female_specific,papsm,0,0,0.0
KLoSA,female_specific,r1papsm,0,0,0.0
KLoSA,female_specific,hystere,0,0,0.0
KLoSA,female_specific,r1hystere,0,0,0.0
KLoSA,female_specific,oophos1y,0,0,0.0
KLoSA,female_specific,oophos,1,43029,97.19
KLoSA,female_specific,child,1,44249,99.95
KLoSA,female_specific,hchild,0,0,0.0
KLoSA,female_specific,r1child,0,0,0.0
KLoSA,inflammaging,bl_crp,0,0,0.0
KLoSA,inflammaging,bl_wbc,0,0,0.0
KLoSA,inflammaging,crp,0,0,0.0
KLoSA,inflammaging,wbc,0,0,0.0
LASI,time,wave,0,0,0.0
LASI,time,iwstat,0,0,0.0
LASI,time,radyear,0,0,0.0
LASI,time,radmonth,0,0,0.0
LASI,time,age,0,0,0.0
LASI,time,agey,0,0,0.0
LASI,time,r1agey,1,73408,100.0
LASI,time,ragey_b,0,0,0.0
LASI,time,ragey_e,0,0,0.0
LASI,sex,ragender,1,73408,100.0
LASI,functional,adltot6,0,0,0.0
LASI,functional,adl6a,0,0,0.0
LASI,functional,iadl,0,0,0.0
LASI,functional,iadlfour,0,0,0.0
LASI,functional,iadltot2_e,0,0,0.0
LASI,functional,r1adltot6,1,73091,99.57
LASI,functional,r1iadltot_l,1,73091,99.57
LASI,functional,frailty,0,0,0.0
LASI,functional,frailtya,0,0,0.0
LASI,functional,frailtyb,0,0,0.0
LASI,functional,gripsum,0,0,0.0
LASI,functional,gripcomp,0,0,0.0
LASI,functional,walkcomp,0,0,0.0
LASI,functional,fall,0,0,0.0
LASI,functional,fall_down,0,0,0.0
LASI,cognitive,total_cognition,0,0,0.0
LASI,cognitive,cog_total,0,0,0.0
LASI,cognitive,cogtot,0,0,0.0
LASI,cognitive,cog27,0,0,0.0
LASI,cognitive,r1cog_total,1,72693,99.03
LASI,cognitive,memory_z,0,0,0.0
LASI,cognitive,orient_z,0,0,0.0
LASI,cognitive,tcog_z_z,0,0,0.0
LASI,cognitive,dementia,0,0,0.0
LASI,cognitive,demene,0,0,0.0
LASI,cognitive,alzdeme,0,0,0.0
LASI,affective,cesd,0,0,0.0
LASI,affective,cesd10,0,0,0.0
LASI,affective,cesd10a,0,0,0.0
LASI,affective,cesd10b,0,0,0.0
LASI,affective,r1cesd10,1,71515,97.42
LASI,affective,depressive,0,0,0.0
LASI,affective,psyche,0,0,0.0
LASI,affective,r1psyche,1,73188,99.7
LASI,affective,sleep_night,0,0,0.0
LASI,affective,satlifez,0,0,0.0
LASI,cardiometabolic_chronic,hibpe,0,0,0.0
LASI,cardiometabolic_chronic,diabe,0,0,0.0
LASI,cardiometabolic_chronic,hearte,0,0,0.0
LASI,cardiometabolic_chronic,stroke,0,0,0.0
LASI,cardiometabolic_chronic,hchole,0,0,0.0
LASI,cardiometabolic_chronic,dyslipe,0,0,0.0
LASI,cardiometabolic_chronic,bmi,0,0,0.0
LASI,cardiometabolic_chronic,mbmi,0,0,0.0
LASI,cardiometabolic_chronic,r1mbmi,1,66100,90.04
LASI,cardiometabolic_chronic,systo,0,0,0.0
LASI,cardiometabolic_chronic,diasto,0,0,0.0
LASI,cardiometabolic_chronic,r1systo,1,66679,90.83
LASI,cardiometabolic_chronic,r1diasto,1,66679,90.83
LASI,cardiometabolic_chronic,cancre,0,0,0.0
LASI,female_specific,mammog,0,0,0.0
LASI,female_specific,r1mammog,1,42077,57.32
LASI,female_specific,papsm,0,0,0.0
LASI,female_specific,r1papsm,1,42082,57.33
LASI,female_specific,hystere,0,0,0.0
LASI,female_specific,r1hystere,1,42082,57.33
LASI,female_specific,oophos1y,0,0,0.0
LASI,female_specific,oophos,0,0,0.0
LASI,female_specific,child,0,0,0.0
LASI,female_specific,hchild,0,0,0.0
LASI,female_specific,r1child,1,72638,98.95
LASI,inflammaging,bl_crp,0,0,0.0
LASI,inflammaging,bl_wbc,0,0,0.0
LASI,inflammaging,crp,0,0,0.0
LASI,inflammaging,wbc,0,0,0.0
MHAS,time,wave,1,76506,100.0
MHAS,time,iwstat,1,76506,100.0
MHAS,time,radyear,1,13067,17.08
MHAS,time,radmonth,1,12861,16.81
MHAS,time,age,0,0,0.0
MHAS,time,agey,1,47586,62.2
MHAS,time,r1agey,0,0,0.0
MHAS,time,ragey_b,0,0,0.0
MHAS,time,ragey_e,0,0,0.0
MHAS,sex,ragender,1,76506,100.0
MHAS,functional,adltot6,1,70626,92.31
MHAS,functional,adl6a,0,0,0.0
MHAS,functional,iadl,0,0,0.0
MHAS,functional,iadlfour,1,70582,92.26
MHAS,functional,iadltot2_e,0,0,0.0
MHAS,functional,r1adltot6,0,0,0.0
MHAS,functional,r1iadltot_l,0,0,0.0
MHAS,functional,frailty,0,0,0.0
MHAS,functional,frailtya,0,0,0.0
MHAS,functional,frailtyb,0,0,0.0
MHAS,functional,gripsum,0,0,0.0
MHAS,functional,gripcomp,1,2086,2.73
MHAS,functional,walkcomp,1,2078,2.72
MHAS,functional,fall,1,76427,99.9
MHAS,functional,fall_down,0,0,0.0
MHAS,cognitive,total_cognition,0,0,0.0
MHAS,cognitive,cog_total,0,0,0.0
MHAS,cognitive,cogtot,0,0,0.0
MHAS,cognitive,cog27,0,0,0.0
MHAS,cognitive,r1cog_total,0,0,0.0
MHAS,cognitive,memory_z,0,0,0.0
MHAS,cognitive,orient_z,0,0,0.0
MHAS,cognitive,tcog_z_z,0,0,0.0
MHAS,cognitive,dementia,0,0,0.0
MHAS,cognitive,demene,0,0,0.0
MHAS,cognitive,alzdeme,0,0,0.0
MHAS,affective,cesd,0,0,0.0
MHAS,affective,cesd10,0,0,0.0
MHAS,affective,cesd10a,0,0,0.0
MHAS,affective,cesd10b,0,0,0.0
MHAS,affective,r1cesd10,0,0,0.0
MHAS,affective,depressive,0,0,0.0
MHAS,affective,psyche,0,0,0.0
MHAS,affective,r1psyche,0,0,0.0
MHAS,affective,sleep_night,0,0,0.0
MHAS,affective,satlifez,1,43778,57.22
