analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,term,term_label,log_or,or,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,Intercept,Intercept,-4.598197,0.0101,0.0065,0.0157,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,functional_score,functional_score,-0.166146,0.8469,0.7826,0.9165,3.7e-05
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,age,age,0.057096,1.0588,1.0514,1.0661,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,Intercept,Intercept,0.24797,1.2814,0.7387,2.2229,0.377619
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,functional_score,functional_score,3.287946,26.7878,22.692,31.6229,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,age,age,-0.038117,0.9626,0.9543,0.9709,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,Intercept,Intercept,-5.070678,0.0063,0.0032,0.0125,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,functional_score,functional_score,-1.841482,0.1586,0.1304,0.1928,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,cognitive_score,cognitive_score,0.249896,1.2839,1.1549,1.4273,4e-06
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,affective_score,affective_score,0.057696,1.0594,0.9714,1.1554,0.192194
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.191597,1.2112,1.1175,1.3128,3e-06
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,age,age,0.057906,1.0596,1.0491,1.0702,0.0
