analysis_set,analysis_tier,cohort,wave,n,n_classes,reference_bic,reference_entropy_separation,reference_mean_max_posterior,replicate_id,resample_design,adjusted_rand_index_vs_reference,mean_centroid_distance_vs_reference,max_centroid_distance_vs_reference,aligned_component_order,replicate_min_class_pct_on_full_data,replicate_entropy_separation_on_full_data,replicate_converged,skip_reason,source_note
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,162,nonparametric_bootstrap,0.9761,0.0593,0.0844,"1,2,3",17.3,0.9171,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,163,nonparametric_bootstrap,0.2293,0.705,0.9455,"1,2,3",19.48,0.7182,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,164,nonparametric_bootstrap,0.2346,0.7216,0.9251,"1,2,3",19.16,0.7156,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,165,nonparametric_bootstrap,0.9809,0.0672,0.1314,"1,2,3",15.58,0.9223,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,166,nonparametric_bootstrap,0.9904,0.0527,0.0752,"1,2,3",16.37,0.9263,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,167,nonparametric_bootstrap,0.2512,0.7079,0.8847,"1,2,3",18.67,0.7235,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,168,nonparametric_bootstrap,0.9857,0.0584,0.104,"1,2,3",16.83,0.9258,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,169,nonparametric_bootstrap,0.2286,0.7063,0.8581,"1,2,3",18.43,0.7198,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,170,nonparametric_bootstrap,0.9914,0.0352,0.0518,"1,2,3",16.81,0.92,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,171,nonparametric_bootstrap,0.9874,0.0434,0.0764,"1,2,3",16.07,0.9232,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,172,nonparametric_bootstrap,0.2686,0.713,0.9543,"1,2,3",22.0,0.7332,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,173,nonparametric_bootstrap,0.9883,0.0506,0.0861,"1,2,3",16.91,0.9189,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,174,nonparametric_bootstrap,0.2097,0.7365,0.9119,"1,2,3",19.7,0.7298,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,175,nonparametric_bootstrap,0.9625,0.0581,0.0841,"1,2,3",17.72,0.9157,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,176,nonparametric_bootstrap,0.9762,0.0739,0.0803,"1,2,3",15.39,0.9258,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,177,nonparametric_bootstrap,0.981,0.0763,0.1313,"1,2,3",16.81,0.9199,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,178,nonparametric_bootstrap,0.9831,0.0796,0.1739,"1,2,3",15.83,0.9285,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,179,nonparametric_bootstrap,0.2481,0.6932,0.8372,"1,2,3",18.94,0.7312,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,180,nonparametric_bootstrap,0.2413,0.6761,0.9063,"1,2,3",20.31,0.7311,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,181,nonparametric_bootstrap,0.9773,0.0696,0.0981,"1,2,3",17.42,0.9247,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,182,nonparametric_bootstrap,0.982,0.0502,0.074,"1,2,3",17.05,0.926,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,183,nonparametric_bootstrap,0.2409,0.7334,0.9777,"1,2,3",18.62,0.7079,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
