analysis_set,analysis_tier,cohort,wave,method,target_classes,replicate_id,adjusted_rand_index_vs_full_fit,replicate_min_class_pct_on_full_data,replicate_converged,skip_reason
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,14,0.8709605092589091,15.949493271307528,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,15,0.8994294260241615,15.51752782854295,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,16,0.975780499901283,15.550755939524837,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,17,0.9724379569046521,15.8664229938528,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,18,0.8464906877846183,15.301545107160658,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,19,0.9354645283645023,15.700282438943347,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,20,0.9326680646112517,15.61721216148862,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,21,0.9300972961926263,15.750124605416183,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,22,0.9846920546160208,15.633826216979566,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,23,0.8336383356579224,15.600598105997673,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,24,0.7919732855186424,15.93287921581658,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,25,0.2654563437182304,14.271473666722049,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,26,0.2645815030690316,13.623525502575179,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,27,0.27653593338596305,13.97242066788503,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,28,0.2710806554016019,13.208174115301546,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,29,0.26740254547732817,14.570526665559063,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,30,0.27837433952654167,13.241402226283435,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,31,0.2693329566325975,14.852965608905134,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,32,0.9305814689640637,15.118790496760258,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,33,0.9159763791811046,15.567369995015785,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,34,0.9751292020768798,15.916265160325635,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,35,0.932911459120841,15.799966771889018,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,36,0.9945108986244421,15.733510549925237,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,37,0.8981219240978326,15.550755939524837,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,38,0.277267696919535,14.105333111812593,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,39,0.8313283943651292,15.8664229938528,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,40,0.9420274765595433,15.700282438943347,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,41,0.8998050794370367,15.152018607742148,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,42,0.9058014053705878,15.61721216148862,1,
